Territorio;Grupos;Medida;Valor;
Andalucía;Grupo 1. Alimentos y bebidas no alcohólicas;Índice;131,987;
Andalucía;Grupo 1. Alimentos y bebidas no alcohólicas;Variación mensual;-0,9;
Andalucía;Grupo 1. Alimentos y bebidas no alcohólicas;Variación en lo que va de año;1,1;
Andalucía;Grupo 1. Alimentos y bebidas no alcohólicas;Variación anual;2;
Andalucía;Grupo 2. Bebidas alcohólicas y tabaco;Índice;121,502;
Andalucía;Grupo 2. Bebidas alcohólicas y tabaco;Variación mensual;0,1;
Andalucía;Grupo 2. Bebidas alcohólicas y tabaco;Variación en lo que va de año;3,1;
Andalucía;Grupo 2. Bebidas alcohólicas y tabaco;Variación anual;4,2;
Andalucía;Grupo 3. Vestido y calzado;Índice;98,656;
Andalucía;Grupo 3. Vestido y calzado;Variación mensual;-1,1;
Andalucía;Grupo 3. Vestido y calzado;Variación en lo que va de año;-12;
Andalucía;Grupo 3. Vestido y calzado;Variación anual;1,6;
Andalucía;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Índice;112,922;
Andalucía;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación mensual;-0,1;
Andalucía;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación en lo que va de año;4,3;
Andalucía;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación anual;6,9;
Andalucía;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;112,445;
Andalucía;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;-0,1;
Andalucía;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;-0,3;
Andalucía;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;0,6;
Andalucía;Grupo 6. Sanidad;Índice;108,267;
Andalucía;Grupo 6. Sanidad;Variación mensual;0;
Andalucía;Grupo 6. Sanidad;Variación en lo que va de año;2;
Andalucía;Grupo 6. Sanidad;Variación anual;2,6;
Andalucía;Grupo 7. Transporte;Índice;114,838;
Andalucía;Grupo 7. Transporte;Variación mensual;0,1;
Andalucía;Grupo 7. Transporte;Variación en lo que va de año;1,5;
Andalucía;Grupo 7. Transporte;Variación anual;1,1;
Andalucía;Grupo 8. Comunicaciones;Índice;102,773;
Andalucía;Grupo 8. Comunicaciones;Variación mensual;0,1;
Andalucía;Grupo 8. Comunicaciones;Variación en lo que va de año;1,9;
Andalucía;Grupo 8. Comunicaciones;Variación anual;0,8;
Andalucía;Grupo 9. Ocio y cultura;Índice;112,792;
Andalucía;Grupo 9. Ocio y cultura;Variación mensual;1,4;
Andalucía;Grupo 9. Ocio y cultura;Variación en lo que va de año;2,6;
Andalucía;Grupo 9. Ocio y cultura;Variación anual;0;
Andalucía;Grupo 10. Enseñanza;Índice;109,282;
Andalucía;Grupo 10. Enseñanza;Variación mensual;0;
Andalucía;Grupo 10. Enseñanza;Variación en lo que va de año;0,1;
Andalucía;Grupo 10. Enseñanza;Variación anual;2,1;
Andalucía;Grupo 11. Restaurantes y hoteles;Índice;127,18;
Andalucía;Grupo 11. Restaurantes y hoteles;Variación mensual;0,5;
Andalucía;Grupo 11. Restaurantes y hoteles;Variación en lo que va de año;4,4;
Andalucía;Grupo 11. Restaurantes y hoteles;Variación anual;4,6;
Andalucía;Grupo 12. Otros bienes y servicios;Índice;114,938;
Andalucía;Grupo 12. Otros bienes y servicios;Variación mensual;0,1;
Andalucía;Grupo 12. Otros bienes y servicios;Variación en lo que va de año;2,4;
Andalucía;Grupo 12. Otros bienes y servicios;Variación anual;3,2;
Andalucía;Índice general;Índice;119,309;
Andalucía;Índice general;Variación mensual;0;
Andalucía;Índice general;Variación en lo que va de año;1,8;
Andalucía;Índice general;Variación anual;2,7;
España;Grupo 1. Alimentos y bebidas no alcohólicas;Índice;131,511;
España;Grupo 1. Alimentos y bebidas no alcohólicas;Variación mensual;-0,8;
España;Grupo 1. Alimentos y bebidas no alcohólicas;Variación en lo que va de año;1,2;
España;Grupo 1. Alimentos y bebidas no alcohólicas;Variación anual;2,3;
España;Grupo 2. Bebidas alcohólicas y tabaco;Índice;121,016;
España;Grupo 2. Bebidas alcohólicas y tabaco;Variación mensual;0;
España;Grupo 2. Bebidas alcohólicas y tabaco;Variación en lo que va de año;3,2;
España;Grupo 2. Bebidas alcohólicas y tabaco;Variación anual;4,2;
España;Grupo 3. Vestido y calzado;Índice;99,679;
España;Grupo 3. Vestido y calzado;Variación mensual;-1;
España;Grupo 3. Vestido y calzado;Variación en lo que va de año;-12,3;
España;Grupo 3. Vestido y calzado;Variación anual;0,7;
España;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Índice;113,134;
España;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación mensual;0;
España;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación en lo que va de año;3,9;
España;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Variación anual;6;
España;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;113,169;
España;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;0;
España;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;0,1;
España;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;0,8;
España;Grupo 6. Sanidad;Índice;107,515;
España;Grupo 6. Sanidad;Variación mensual;0;
España;Grupo 6. Sanidad;Variación en lo que va de año;1,7;
España;Grupo 6. Sanidad;Variación anual;2;
España;Grupo 7. Transporte;Índice;113,944;
España;Grupo 7. Transporte;Variación mensual;0,2;
España;Grupo 7. Transporte;Variación en lo que va de año;1,9;
España;Grupo 7. Transporte;Variación anual;1,2;
España;Grupo 8. Comunicaciones;Índice;102,691;
España;Grupo 8. Comunicaciones;Variación mensual;0,1;
España;Grupo 8. Comunicaciones;Variación en lo que va de año;1,9;
España;Grupo 8. Comunicaciones;Variación anual;0,8;
España;Grupo 9. Ocio y cultura;Índice;115,551;
